lien,groupe_parlementaire,departement
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2029/(legislature)/47,Union et fraternité française,Aube
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2047/(legislature)/47,Socialiste,Nord
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2052/(legislature)/47,Union et fraternité francaise,Seine-et-Oise
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2073/(legislature)/47,Communiste,Bouches-du-Rhône
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2077/(legislature)/47,Indépendants et paysans d'action sociale,Finistère
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2078/(legislature)/47,Indépendants et paysans d'action sociale,Meurthe-et-Moselle
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2083/(legislature)/47,Union et fraternité francaise,Deux-Sèvres
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2087/(legislature)/47,Républicain radical et radical-socialiste,Eure-et-Loir
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/223/(legislature)/47,Républicain progressiste,Ille-et-Vilaine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2553/(legislature)/47,Non-inscrit,Ille-et-Vilaine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2097/(legislature)/47,Socialiste,Nièvre
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2105/(legislature)/47,Républicain radical et radical-socialiste,Vaucluse
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2114/(legislature)/47,Union et fraternité francaise,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2137/(legislature)/47,Socialiste,Nord
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2174/(legislature)/47,Socialiste,Landes
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2173/(legislature)/47,Rassemblement des gauches républicaines et du centre républicain,Seine-et-Oise
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2179/(legislature)/47,Union et fraternité francaise,Gironde
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/339/(legislature)/47,Républicain radical et radical-socialiste,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/499/(legislature)/47,Indépendants et paysans d'action sociale,Vendée
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1782/(legislature)/47,Indépendants et paysans d'action sociale,Meurthe-et-Moselle
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1781/(legislature)/47,Mouvement républicain populaire,Basses-Pyrénées
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2952/(legislature)/47,Républicain radical et radical-socialiste,Loiret
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7774/(legislature)/47,Rassemblement des gauches républicaines et du centre républicain,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7863/(legislature)/47,Républicain radical et radical-socialiste,Seine-et-Oise
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/5183/(legislature)/47,Mouvement républicain populaire,Haute-Savoie
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/5431/(legislature)/47,Républicain radical et radical-socialiste,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/5464/(legislature)/47,Indépendants et paysans d'action sociale,Doubs
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/6809/(legislature)/47,Indépendants et paysans d'action sociale,Loire-Atlantique
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7079/(legislature)/47,Mouvement républicain populaire,Vendée
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2216/(legislature)/47,Socialiste,Bouches-du-Rhône
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2223/(legislature)/47,Communiste,Pas-de-Calais
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2226/(legislature)/47,Républicain radical et radical-socialiste,Rhône
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2228/(legislature)/47,Socialiste,Seine-et-Oise
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2236/(legislature)/47,Socialiste,Tarn
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2239/(legislature)/47,Socialiste,Ariège
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2244/(legislature)/47,Socialiste,Pas-de-Calais
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2246/(legislature)/47,Indépendants et paysans d'action sociale,Savoie
